,neurotocism_score,extroversion_score,openness_score,agreeableness_score,conscientiousness_score,impulsiveness_score,sens_seeking_score,alc_consumption
759,1.72012,0.32197,-1.11902,-0.45321,-2.42317,2.90161,-0.21575,CurrentUse
898,1.8399,-0.94779,-0.97631,-0.91699,-1.0145,2.90161,1.92173,CurrentUse
1845,1.60383,-0.94779,1.24033,-0.91699,-1.38502,2.90161,1.92173,CurrentUse
1858,1.72012,0.32197,1.65653,-0.15487,-1.78169,2.90161,0.40148,CurrentUse
28,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,CurrentUse
109,-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247,CurrentUse
115,-2.3436,1.93886,1.43533,-0.76096,-1.38502,1.86203,1.2247,CurrentUse
199,-0.05188,0.47617,0.58331,0.76096,-0.00665,1.86203,1.2247,CurrentUse
206,-0.14882,1.11406,0.29338,-0.91699,-1.0145,1.86203,0.40148,CurrentUse
261,-0.46725,0.96248,2.15324,-0.91699,-0.00665,1.86203,1.2247,CurrentUse
315,-0.46725,0.80523,1.06238,-0.45321,-0.78155,1.86203,0.40148,CurrentUse
335,0.41667,-0.57545,0.58331,0.43852,-1.0145,1.86203,0.7654,CurrentUse
337,-0.58016,0.32197,1.06238,-1.772,0.41594,1.86203,0.40148,CurrentUse
346,-0.14882,1.74091,1.65653,2.46262,0.25953,1.86203,1.2247,CurrentUse
355,0.62967,0.00332,1.24033,1.81866,0.93949,1.86203,1.92173,CurrentUse
395,0.22393,1.2861,-0.45174,-1.47955,-0.78155,1.86203,1.2247,CurrentUse
401,0.13606,-1.09207,-0.45174,-1.6209,-0.65253,1.86203,1.2247,CurrentUse
432,0.22393,1.93886,-1.11902,1.2861,-0.14277,1.86203,0.7654,CurrentUse
453,-0.14882,-0.57545,0.88309,-0.76096,-0.27607,1.86203,0.7654,CurrentUse
512,0.41667,0.47617,0.58331,0.13136,-1.0145,1.86203,0.40148,CurrentUse
572,1.23461,-1.23177,-1.68062,-1.07533,-0.65253,1.86203,0.07987,CurrentUse
580,-1.1943,0.00332,-1.11902,-0.01729,-1.92173,1.86203,-0.21575,CurrentUse
600,1.02119,1.11406,0.7233,0.13136,-1.0145,1.86203,1.2247,CurrentUse
609,1.23461,-0.80615,-1.42424,1.11406,-1.5184,1.86203,-0.21575,CurrentUse
623,-0.34799,0.00332,-0.45174,-0.30172,-1.38502,1.86203,-0.52593,CurrentUse
656,1.13281,-1.37639,1.43533,-0.45321,-1.38502,1.86203,1.92173,CurrentUse
688,0.82562,-0.69509,-0.45174,-0.01729,-0.14277,1.86203,0.40148,CurrentUse
717,-0.05188,-1.23177,-0.71727,-0.60633,-0.27607,1.86203,1.2247,CurrentUse
750,1.60383,-0.30033,1.06238,1.45039,-1.78169,1.86203,0.07987,CurrentUse
786,-1.69163,1.2861,-0.58331,-0.60633,-1.13788,1.86203,0.7654,CurrentUse
797,1.23461,0.63779,1.43533,0.43852,-0.65253,1.86203,-0.52593,CurrentUse
805,-0.34799,0.80523,0.7233,0.59042,-0.89891,1.86203,1.2247,CurrentUse
814,2.46262,0.32197,0.29338,-0.91699,-1.0145,1.86203,1.2247,CurrentUse
